VILLCODE,CODE1,COUNTY,TOWN,VILLAGE,household_no,factory_count,store_count,school_count,monthly_water_usage,hospital_count,people_total,yyyymm_key,lon,lat,predicted_water_usage,actual_predicted_ratio,cluster
A0201-008-00,A0201-36-003,宜蘭縣,宜蘭市,進士里,188,0.0,1.0,0.0,7151.0,0.0,554,201602,121.73918991002529,24.7342764190118,5655.187435646115,1.264502738658208,5
A0201-013-00,A0201-32-007,宜蘭縣,宜蘭市,黎明里,181,2.0,1.0,0.0,7266.0,0.0,599,201602,121.77908366922489,24.742623971259103,5534.416613232787,1.3128755039197804,5
A0201-019-00,A0201-12-002,宜蘭縣,宜蘭市,東門里,78,1.0,1.0,0.0,6404.0,0.0,176,201602,121.75602513243682,24.757777301338855,3174.9691430932317,2.017027476922458,5
A0201-021-00,A0201-07-006,宜蘭縣,宜蘭市,小東里,116,0.0,1.0,0.0,5229.0,0.0,334,201602,121.75857322226078,24.759963903058438,4019.2440792429807,1.3009909069729537,5
A0201-031-00,A0201-08-006,宜蘭縣,宜蘭市,中山里,158,0.0,1.0,0.0,6932.5,0.0,351,201602,121.75279178486205,24.76003411803704,4973.54437047808,1.3938751690142488,5
A0201-038-00,A0201-28-005,宜蘭縣,宜蘭市,思源里,138,0.0,1.0,0.0,5882.0,0.0,418,201602,121.73323602883622,24.74878588121261,4519.1156603661275,1.301582088634451,5
A0201-038-00,A0201-30-004,宜蘭縣,宜蘭市,思源里,222,0.0,1.0,0.0,9124.0,0.0,558,201602,121.73955112013617,24.747167508486353,6427.716242836328,1.4194777204374374,5
A0201-038-00,A0201-30-007,宜蘭縣,宜蘭市,思源里,126,0.0,1.0,0.0,8345.0,0.0,347,201602,121.74145583217052,24.74660205257888,4246.4584342989565,1.9651670042491933,5
A0201-038-00,A0201-31-006,宜蘭縣,宜蘭市,思源里,177,0.0,1.0,0.0,7427.0,0.0,449,201602,121.74075296830858,24.7453136987645,5405.251645084435,1.3740340853055664,5
A0201-039-00,A0201-21-006,宜蘭縣,宜蘭市,文化里,184,0.0,1.0,0.0,7111.0,0.0,462,201602,121.74433877694702,24.75126411556861,5564.301693623618,1.2779680886370364,5
A0201-039-00,A0201-26-006,宜蘭縣,宜蘭市,文化里,109,0.0,1.0,0.0,5625.0,0.0,288,201602,121.7480841809361,24.748103088138283,3860.1940307037967,1.4571806378796044,5
A0201-040-00,A0201-23-005,宜蘭縣,宜蘭市,復興里,107,0.0,1.0,0.0,6229.0,0.0,259,201602,121.75083287351679,24.749318277793282,3814.7511596926015,1.6328719067751571,5
A0201-040-00,A0201-33-004,宜蘭縣,宜蘭市,復興里,130,0.0,3.0,0.0,11658.0,0.0,315,201602,121.7496732101466,24.745824551190083,4337.344176321348,2.6878199022443163,3
A0202-004-00,A0202-17-002,宜蘭縣,羅東鎮,大新里,126,0.0,1.0,0.0,5871.0,0.0,267,201602,121.77349299714834,24.676970502481154,4246.4584342989565,1.3825638684178567,5
